,PropertyID,Address ,Building Name,Suite,City,State,Postal Code,Market ,Sub Market Cluster,Sub Market,Micro Market,Property Type,Building Type,Building Sub Type,Building Sub Specialty,Building Class,Building Sub Class,Building Status,Space Type,Availability Type,Space Condition,Build Out Condition,Condition,Floors,Is Available,Is Vacant,Is Full Floor?,Is Full Building?,Is Divisibile?,View Space,Min Available s.f.,Max Available s.f.,Rent Low,Rent High,Rent Type,Sale Price,Floor Contig s.f.,Large Block (Bldg Contig) s.f.,Calculated Bldg Contig s.f.,Bldg Contig Rent,Operating Expenses p.s.f.,Taxes p.s.f.,Common Area Maintenance p.s.f.,Date on Market,Vacating Tenant Company,Date Vacant,New Tenant,Move In Date,Earliest Move In Timing,Earliest Move in Date,Minimum Lease Term Months,Maximum Lease Term Months,In Statistics?,Sublessor Company,Listing Broker Company,Amenities,Amenity Comments,Building Size,Building Primary Owner,Column Spacing Width,Column Spacing Depth,Building Location
3224,107344,811 W Fulton St,811 West Fulton Market,,Chicago,Illinois,60607,Chicago,CBD,Fulton Market,,Office,Office,Creative,,A,,Existing,Direct,For Lease,,,,2nd,No,No,Yes,No,No,,"9,612","9,612",$46.09,$49.09,Full Service Gross,,"9,612","9,612",0,$32.00,,,,6-5-2015,,,,4-1-2019,Vacant,,,,Yes,,,,,"63,909",Intercontinental,,,
3231,29356,820 Jorie Blvd,RSNA Bldg,120,Oak Brook,Illinois,60523,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,Yes,No,No,No,Yes,,"7,000","9,192",,$5.00,NNN,,"9,192","9,192","9,192",$21.00,,,,3-7-2018,,,,,60 Days,,0.0,0.0,No,,,,,"98,895","Radiological Society of North America, Inc.,",,,
3232,559915,8201 W Higgins Rd,Office BTS,,Chicago,Illinois,60631,Chicago,Suburban,O'Hare,,Office,Office,Office,,A,,Proposed Long-Term,Direct,For Lease,,,,1st,Yes,Yes,No,No,Yes,,"10,000","50,000",28,$29.00,,,"50,000","50,000","150,000",,,,,1-29-2019,,,,,Negotiable,,,,No,,CBRE,,,"200,000",Friedman Properties LP,,,
3238,536187,833 W Lincoln Hwy,,200East,Schererville,Indiana,46375,Chicago,,Northwest Indiana,,Office,Office,Office,,A,,Existing,Sublet,For Lease,,,,2nd,Yes,Yes,No,No,No,,"12,599","12,599",$15.00,$20.00,Full Service Gross,,,,0,,,,,11-15-2018,,,,,Vacant,,,,No,,Bradley Co,,,"115,288",Gene Kimmel,,,
3240,29373,8420 W Bryn Mawr Ave,8420 West Bryn Mawr,100 & 190,Chicago,Illinois,60631,Chicago,Suburban,O'Hare,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,Yes,Yes,No,No,No,,"10,685","10,685",$36.00,$38.00,N,,"10,685","10,685","19,824",$20.75,,,,7-16-2018,,,,,Vacant,,0.0,0.0,Yes,,,,,"215,428",Ohio Public Employees Retirement System,,,
3244,29374,8430 W Bryn Mawr Ave,8430 West Bryn Mawr,175,Chicago,Illinois,60631,Chicago,Suburban,O'Hare,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Partial Build-Out,,1st,No,No,No,No,No,,"3,943","3,943",$30.21,$34.21,N,,"3,943","3,943","10,252",,,,,12-19-2018,,,,4-15-2019,,,,,Yes,,Colliers International,,,"212,045",Ohio Public Employees Retirement System,,,
3256,29385,8550 W Bryn Mawr Ave,International Tower,100,Chicago,Illinois,60631,Chicago,Suburban,O'Hare,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Full Build-Out,Average,1st,Yes,Yes,Yes,No,Yes,,"10,000","53,427",$28.00,$33.00,Full Service Gross,,"53,427","53,427","53,427",$0.00,,,,4-28-2017,,,,,Vacant,,,,Yes,,,,,"302,088",Golub & Associates,,,
3262,536331,8585 Broadway,,680,Merrillville,Indiana,46410,Chicago,,Northwest Indiana,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,6th,Yes,Yes,No,No,No,,"2,095","2,095",35.89,$39.89,,,"2,095","2,095","2,095",,,,,12-17-2018,,,,,Specific Date,1-1-2019,,,No,,Napleton Automotive Group,,,"317,193",Napleton Automotive Group,,,
3264,29388,8600 W Bryn Mawr Ave,Presidents Plaza I,120N,Chicago,Illinois,60631,Chicago,Suburban,O'Hare,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,No,No,No,No,No,,"2,206","2,206",$40.68,$44.68,NNN,,"2,206","2,206","5,774",$23.00,,,,6-14-2018,,,,4-1-2019,Vacant,,0.0,0.0,Yes,,,,,"409,000","Angelo, Gordon & Company",,,
3275,541215,8601 W Higgins Rd,GlenStar O'Hare,,Chicago,Illinois,60631,Chicago,Suburban,O'Hare,,Office,Office,Office,,A,,Under Construction,Direct,For Lease,,,,1st,Yes,No,No,No,No,,"50,000","50,000",26.5,$31.50,Full Service Gross,,"50,000","600,000","600,000",,,,,6-28-2019,,,,,Specific Date,6-1-2022,,,No,,GlenStar Properties,,,"600,000",GlenStar Properties,,,
3287,397577,870 N Arlington Heights Rd,870 North Arlington Heights,,Itasca,Illinois,60143,Chicago,Suburban,Northwest,,Office,Office,Office,,A,,Proposed Long-Term,Direct,,,Shell Space,,1st,Yes,No,Yes,No,No,,"32,500","32,500",$42.00,$47.00,,,"32,500","97,500","97,500",$0.00,,,,5-27-2005,,,,,TBD,,0.0,0.0,No,,,,,"97,500",Quadrangle Development Company,,,
3290,29393,8700 W Bryn Mawr Ave,Presidents Plaza II,1000,Chicago,Illinois,60631,Chicago,Suburban,O'Hare,,Office,Office,Office,,A,,Existing,Direct,,,,,P 10,No,No,No,No,No,,,"6,786",$38.00,$42.00,Full Service Gross,,,"6,786","20,000",,,,,10-1-2017,,,,4-1-2018,Vacant,,,,Yes,,,,,"431,346","Angelo, Gordon & Company",,,
3301,29396,8725 W Higgins Rd,O'Hare Plaza I,110,Chicago,Illinois,60631,Chicago,Suburban,O'Hare,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Partial Build-Out,,1st,Yes,Yes,No,No,No,,"7,482","7,482",$35.00,$39.00,Modified Gross,,"7,482","7,482","14,158",$28.00,,,,4-16-2010,,,,,Vacant,,,,Yes,,,,,"278,675",Fulcrum Asset Advisors,,,
3308,29397,8735 W Higgins Rd,8735 West Higgins,160,Chicago,Illinois,60631,Chicago,Suburban,O'Hare,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Partial Build-Out,,1st,Yes,Yes,No,No,No,,"3,076","3,076",$41.75,$45.75,Full Service Gross,,"3,076","3,076","8,028",$27.50,,,,9-5-2013,,,,,Vacant,,,,Yes,,,,,"84,384",Fulcrum Asset Advisors,,,
3310,29398,8745 W Higgins Rd,8745 West Higgins,110,Chicago,Illinois,60631,Chicago,Suburban,O'Hare,,Office,Office,Office,,A,,Existing,Sublet,For Lease,,Full Build-Out,,1st,Yes,Yes,No,No,Yes,,100,350,$23.00,$26.00,Full Service Gross,,350,350,"3,840",$60.86,,,,1-5-2017,,,,,Vacant,,,,Yes,,,,,"117,299",Fulcrum Asset Advisors,,,
3313,6045,875 N Michigan Ave,875 North Michigan,1330,Chicago,Illinois,60611,Chicago,CBD,North Michigan Avenue,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Spec,,13th,No,No,No,No,No,,"6,546","6,546",$30.00,$32.00,N,,"6,546","6,546","31,331",,,,,2-11-2019,,,,6-10-2019,,,,,Yes,,JLL,,,"1,000,100",Mount Kellett Capital Management,,,
3340,29399,8750 W Bryn Mawr Ave,Triangle Plaza,200,Chicago,Illinois,60631,Chicago,Suburban,O'Hare,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,2nd,Yes,Yes,No,No,No,,"9,765","9,765",$26.25,$27.25,NNN,,"9,765","9,765","9,765",$22.00,,,,5-31-2016,,,,,Vacant,,0.0,0.0,Yes,,,,,"311,862",Alliance Partners HSP LLC,,,
3344,29400,8755 W Higgins Rd,8755 West Higgins,180,Chicago,Illinois,60631,Chicago,Suburban,O'Hare,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,Yes,Yes,No,No,No,,"9,465","9,465",$22.00,$24.00,Modified Gross,,"9,465","9,465","9,465",$30.00,,,,3-12-2010,,,,,Vacant,,,,Yes,,,,,"232,944",Fulcrum Asset Advisors,,,
3348,29402,8770 W Bryn Mawr Ave,Triangle Plaza West Tower,150,Chicago,Illinois,60631,Chicago,Suburban,O'Hare,,Office,Office,Office,,A,,Existing,Direct,,,,,1st,No,No,No,No,No,,,"19,498",$26.00,$27.00,Full Service Gross,,,"19,498","15,952",,,,,6-26-2018,,,,10-1-2020,Vacant,,,,Yes,,,,,"315,423",Shidler Group,,,
3358,29414,9 Parkway N,Nine Parkway North,100,Deerfield,Illinois,60015,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,Yes,Yes,No,No,No,,"10,797","10,797",$45.33,$49.33,Full Service Gross,,"10,797","10,797","10,797",$0.00,,,,12-16-2016,,,,,Vacant,,,,Yes,,,,,"132,867",Fulcrum Asset Advisors,,,
3363,181033,90 Half Day Rd,,,Lincolnshire,Illinois,60069,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,Yes,Yes,Yes,No,No,,"28,000","28,000",$43.00,$47.00,Modified Gross,,"28,000","56,000","56,000",$0.00,,,,12-2-2015,,,,,Vacant,,,,No,,,,,"56,000",Medline Industries,,,
3365,6082,900 N Michigan Ave,900 Tower Offices,850,Chicago,Illinois,60611,Chicago,CBD,North Michigan Avenue,,Office,Office,Condo,,A,,Existing,Direct,For Lease,,Full Build-Out,,8th,Yes,Yes,No,No,No,,"6,000","6,000",$46.09,$48.09,Full Service Gross,,"6,000","6,000","6,000",$0.00,,,,9-29-2017,,,,,Vacant,,,,Yes,,,,,"340,000",JMB Financial Advisors LLC,,,
3369,29420,900 Rand Rd,Rand Road Medical Office Building,,Des Plaines,Illinois,60016,Chicago,Suburban,O'Hare,,Office,Office,Medical,,A,,Existing,Sublet,For Lease,,,,3rd,Yes,Yes,No,No,No,,"4,391","4,391",$22.00,$23.00,N,,"4,391","4,391","4,391",$22.00,,,,8-24-2015,,,,,Vacant,,,,No,,,,,"60,900",MB Real Estate Services,,,
