,PropertyID,Address ,Building Name,Suite,City,State,Postal Code,Market ,Sub Market Cluster,Sub Market,Micro Market,Property Type,Building Type,Building Sub Type,Building Sub Specialty,Building Class,Building Sub Class,Building Status,Space Type,Availability Type,Space Condition,Build Out Condition,Condition,Floors,Is Available,Is Vacant,Is Full Floor?,Is Full Building?,Is Divisibile?,View Space,Min Available s.f.,Max Available s.f.,Rent Low,Rent High,Rent Type,Sale Price,Floor Contig s.f.,Large Block (Bldg Contig) s.f.,Calculated Bldg Contig s.f.,Bldg Contig Rent,Operating Expenses p.s.f.,Taxes p.s.f.,Common Area Maintenance p.s.f.,Date on Market,Vacating Tenant Company,Date Vacant,New Tenant,Move In Date,Earliest Move In Timing,Earliest Move in Date,Minimum Lease Term Months,Maximum Lease Term Months,In Statistics?,Sublessor Company,Listing Broker Company,Amenities,Amenity Comments,Building Size,Building Primary Owner,Column Spacing Width,Column Spacing Depth,Building Location
0,27960,1 Corporate Dr,One Corporate,100,Long Grove,Illinois,60047,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Partial Build-Out,,1st,No,No,No,No,No,,"7,238","7,238",$28.00,$33.00,Full Service Gross,,"7,238","7,238","3,243",,,,,4-15-2019,,,,12-31-2019,Specific Date,8-1-2019,,,Yes,,Lincoln Property Company,,,"420,580",Apollo Global Management,,,
4,27965,1 Mid America Plz,One Mid America,110,Oakbrook Terrace,Illinois,60181,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Direct,For Lease,,Partial Build-Out,,1st,No,No,No,No,No,,"1,079","1,079",$38.44,$41.44,N,,"1,079","1,079","23,704",,,,,2-22-2019,,,,4-7-2019,,,,,Yes,,Avison Young,,,"204,630",Equus Capital Partners,,,
14,3136,1 N Franklin St,PNC Centre at One North Franklin,310,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,3rd,Yes,Yes,No,No,No,,"1,212","1,212",$20.00,$21.00,N,,"1,212","1,212","18,807",$23.00,,,,8-28-2018,,,,,Specific Date,12-1-2018,0.0,0.0,Yes,,,,,"634,747",New York Common Retirement Fund,,,
40,27968,1 Overlook Pt,One Overlook Point,242,Lincolnshire,Illinois,60069,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,2nd,No,No,No,No,No,,257,257,$31.75,$32.75,Modified Gross,,,,"37,703",,,,,1-16-2019,,,,2-16-2019,,,,,Yes,,Van Vissingen and Company,,,"206,626",Van Vlissingen & Company,,,
53,27969,1 Parkview Plz,Parkview Plaza,,Oakbrook Terrace,Illinois,60181,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Sublet,For Lease,,,,1st,No,No,No,No,No,,"1,984","1,984",$33.00,$37.00,Modified Gross,,"1,984","1,984","30,448",,,,,2-25-2019,,,,3-25-2019,,,,,Yes,,,,,"264,162",Hamilton Partners,,,
69,27970,1 Parkway N,One Parkway North,100S,Deerfield,Illinois,60015,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Spec,,1st,Yes,Yes,No,No,No,,"5,164","5,164",$18.50,$21.50,N,,"5,164","5,164","9,498",$21.00,,,,6-17-2002,,,,,Vacant,,36.0,120.0,Yes,,Colliers International,,,"271,500",KAWA Capital Management,,,
75,27971,1 Pierce Pl,One Pierce Place,295E,Itasca,Illinois,60143,Chicago,Suburban,Northwest,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,2nd,Yes,Yes,No,No,No,,"2,949","2,949",$61.69,$62.69,Full Service Gross,,,"2,949","32,838",,,,,11-14-2018,,,,,Vacant,,,,Yes,,Hamilton Partners,,,"578,737",Balfour Pacific,,,
100,3143,1 S Wacker Dr,One South Wacker,200,Chicago,Illinois,60606,Chicago,CBD,West Loop,Wacker West,Office,Office,Office,,A,,Existing,Sublet,For Lease,,Full Build-Out,Trophy,2nd,Yes,No,No,No,Yes,,"21,000","21,000",$26.54,$30.54,,,,"21,000","36,951",,,,,10-2-2018,,,,,30 Days,,,,Yes,,Serendipity Labs,,,"1,195,170",601W Companies,,,
133,27976,1 Tower Ln,Oakbrook Terrace Tower,380,Oakbrook Terrace,Illinois,60181,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Direct,For Lease,,Full Build-Out,,3rd,Yes,Yes,No,No,No,,"2,121","2,121",$29.37,$30.37,Full Service Gross,,"2,121","2,121","21,899",,,,,8-2-2019,,,,,Vacant,,,,Yes,,Newmark Knight Frank,,,"792,192",Blackstone Group,,,
161,27978,1 Westbrook Corporate Ctr,Westbrook Tower I,330,Westchester,Illinois,60154,Chicago,Suburban,Eastern East-West,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Full Build-Out,,3rd,Yes,Yes,No,No,No,,"1,897","1,897",$27.00,$30.00,N,,"1,897","1,897","22,674",$17.50,,,,7-27-2017,,,,,Vacant,,,,Yes,,,,,"229,048",Blackstone Group,,,
176,27982,10 N Martingale Rd,Woodfield Preserve I,200,Schaumburg,Illinois,60173,Chicago,Suburban,Northwest,Schaumburg,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,2nd,Yes,No,No,No,No,,"12,193","12,193",$33.60,$35.60,NNN,,"12,193","12,193","53,226",,$6.23,$6.60,,8-22-2019,,,,,Specific Date,1-1-2020,,,Yes,,CBRE,,,"304,876",Zeller Realty Group,,,
182,27983,10 Parkway N,Ten Parkway North,,Deerfield,Illinois,60015,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Full Build-Out,,1st,No,No,No,No,Yes,,"10,000","29,552",$43.24,$46.24,NNN,,"29,552","29,552","9,650",$19.00,,,,11-20-2017,,,,,30 Days,,0.0,0.0,Yes,,,,,"99,811",Blackstone Group,,,
187,3162,10 S Riverside Plz,10 South Riverside Plaza,820,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Office,,A,-,Existing,Direct,For Lease,,,,8th,Yes,No,No,No,No,,"1,217","1,217",$21.50,$25.50,N,,"1,217","1,217","9,317",$26.50,,,,3-16-2018,,,,,Negotiable,,0.0,0.0,Yes,,,,,"705,445",Callahan Capital Properties,,,
195,3163,10 S Wacker Dr,CME Center,1050,Chicago,Illinois,60606,Chicago,CBD,West Loop,Wacker West,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,10th,No,No,No,No,Yes,,"15,386","15,386",,$5.00,NNN,,"15,386","15,386","80,890",$24.00,,,,8-22-2014,,,,1-1-2019,Specific Date,1-1-2019,,,Yes,,,,,"1,200,000",Tishman Speyer,,,
208,27992,100 N Field Dr,One Conway Park,110,Lake Forest,Illinois,60045,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Sublet,For Lease,,,Excellent,1st,Yes,Yes,No,No,No,,"6,634","6,634",$22.50,$25.50,Full Service Gross,,"6,634","6,634","6,634",,,,,3-11-2019,,,,,Specific Date,11-1-2019,,,Yes,,Bespoke Commercial Real Estate,,,"105,000",Fulcrum Asset Advisors,,,
214,3171,100 N Riverside Plz,Boeing Building,B & D,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Office,,A,,Existing,Sublet,For Lease,,,,8th,Yes,Yes,No,No,Yes,,"11,074","25,166",$49.00,$53.00,,,"25,166","25,166","25,166",$0.00,,,,1-7-2019,,,,,Vacant,,0.0,0.0,Yes,,Cushman & Wakefield,,,"778,574",Boeing Company,,,
223,27995,100 S 1st St,The Plaza,141,Saint Charles,Illinois,60174,Chicago,Suburban,Western East-West,,Office,Office,Condo,,A,,Existing,Direct,For Lease,,Full Build-Out,Excellent,1st,No,No,No,No,No,,"1,471","1,471",$29.33,$32.33,NNN,,"1,471","1,471","5,636",$25.00,,,,2-9-2018,,,,11-30-2018,Vacant,,0.0,0.0,No,,,,,"75,000",City of St. Charles,,,
227,27996,100 S Saunders Rd,Landmark I,140,Lake Forest,Illinois,60045,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Full Build-Out,,1st,Yes,Yes,No,No,No,,"3,255","3,255",,$2.00,N,,"3,255","3,255","19,901",$20.00,,,,1-29-2018,,,,,Specific Date,1-1-2019,0.0,0.0,Yes,,,,,"162,816",Newsweb Corporation,,,
232,397406,100-112 S State St,1 W Monroe,,Chicago,Illinois,60603,Chicago,CBD,Central Loop,,Office,Office,Office,,A,,Existing,Sublet,For Lease,,Coworking,,3rd,No,No,No,No,Yes,,"1,000","13,332",40.5,$45.50,,,"13,332","13,332","1,068",,,,,4-11-2019,,,,12-27-2019,Negotiable,,,,Yes,,WeWork,,,"70,918",Tishman Real Estate Services,,,
240,28003,1000 Burr Ridge Pkwy,1000 Burr Ridge,100,Burr Ridge,Illinois,60527,Chicago,Suburban,Eastern East-West,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,No,No,No,No,No,,"1,500","1,500",$24.75,$26.75,Modified Gross,,"1,500","1,500","5,040",$25.00,,,,4-18-2016,,,,4-1-2019,Negotiable,,,,Yes,,,,,"57,222",Teamsters Local 731,,,
244,28005,1000 E Warrenville Rd,1000 East Warrenville,101,Naperville,Illinois,60563,Chicago,Suburban,Western East-West,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,No,No,No,No,No,,"12,753","12,753",$38.00,$40.00,Full Service Gross,,"12,753","12,753",0,$16.00,,,,2-13-2018,,,,1-1-2019,Specific Date,12-1-2018,0.0,0.0,Yes,,,,,"267,000",Elad Canada Inc.,,,
249,28011,1000 Milwaukee Ave,,,Glenview,Illinois,60025,Chicago,Suburban,North Cook County,,Office,Office,Office,,A,,Demolished,Direct,For Lease,,,,1st,No,No,Yes,No,No,,"55,801","55,801",$25.00,$26.00,Full Service Gross,,"55,801","405,039",0,$16.00,,,,12-12-2012,,,,1-1-2019,Vacant,,,,No,,,,,"405,039","Abt Electronics, Inc.",,,
255,541704,1000 Remington Blvd,Tallgrass Corporate Center,,Bolingbrook,Illinois,60440,Chicago,Outer Suburbs,South Suburbs,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,2nd,Yes,Yes,No,No,No,,"9,289","9,289",46,$51.00,Full Service Gross,,"9,289","9,289","63,203",,,,,3-6-2019,,,,,30 Days,,,,No,,Colliers International,,,"533,365","ASA Properties, LLC/Middleton Partners, LLC",,,
258,28032,1007 Church St,Church Street Office Center,108,Evanston,Illinois,60201,Chicago,Suburban,North Cook County,Evanston,Office,Office,Mixed-Use,,A,,Existing,Direct,For Lease,,,,1st,No,No,No,No,No,,"1,969","1,969",$17.00,$21.00,Modified Gross,,,,"12,201",,,,,4-1-2019,,,,5-1-2019,,,,,Yes,,Colliers International,,,"153,389",FD Stonewater,,,
265,3223,101 N Wacker Dr,101 North Wacker,160,Chicago,Illinois,60606,Chicago,CBD,West Loop,Wacker West,Office,Office,Office,,A,,Existing,Direct,For Lease,,Spec,,MEZZ,Yes,Yes,No,No,No,,"6,630","6,630",$35.00,$39.00,N,,"17,426","17,426","17,426",,$8.24,$7.66,,5-7-2019,,,,,Vacant,,,,Yes,,JLL,,,"599,503",LaSalle Investment Management,,,
289,28039,1011 Warrenville Rd,Arboretum Lakes West,150,Lisle,Illinois,60532,Chicago,Suburban,Western East-West,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,Excellent,1st,Yes,Yes,No,No,No,,"1,814","1,814",$15.50,$18.50,Full Service Gross,,"2,780","1,814","15,982",,,,,5-20-2019,,,,,Vacant,,,,Yes,,Hamilton Partners,,,"188,675",Millbrook Real Estate Company,,,
297,587842,1025 W Fulton Market,,,Chicago,Illinois,60607,Chicago,CBD,River West,,Office,Office,Office,,A,,Proposed Long-Term,Direct,For Lease,,,,1st,Yes,No,No,No,No,,"22,727","22,727",39.75,$41.75,,,"22,727","22,727","22,727",,,,,6-24-2019,,,,,Specific Date,12-1-2020,,,No,,CBRE,,,"250,000","MO2 Properties, LLC",,,
308,28051,10255 W Higgins Rd,O'Hare International Center II,100,Rosemont,Illinois,60018,Chicago,Suburban,O'Hare,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Full Build-Out,,1st,Yes,No,No,No,No,,"11,772","11,772",$25.00,$26.00,N,,"11,772","11,772","11,772",,,,,8-5-2019,,,,,Specific Date,4-1-2020,,,Yes,,Newmark Knight Frank,,,"258,971",Bridge Investment Group,,,
313,28052,10275 W Higgins Rd,O'Hare International Center I,300,Rosemont,Illinois,60018,Chicago,Suburban,O'Hare,,Office,Office,Office,,A,,Existing,Direct,,,,,P 3,No,No,No,No,No,,,"11,090",$36.00,$39.00,Full Service Gross,,,"11,090","20,137",,,,,10-1-2017,,,,1-1-2018,Vacant,,,,Yes,,,,,"257,808",Bridge Investment Group,,,
330,28055,1033 Skokie Blvd,Northbrook Corporate Center II,,Northbrook,Illinois,60062,Chicago,Suburban,North Cook County,,Office,Office,Office,,A,,Existing,Sublet,For Lease,,Full Build-Out,,2nd,Yes,Yes,No,No,No,,"3,493","3,493",$29.00,$30.00,Full Service Gross,,"3,493","3,493","20,494",,,,,2-18-2019,,,,,Vacant,,,,Yes,,Colliers International,,,"150,000",Fulcrum Asset Advisors,,,
339,521626,1040 W Fulton Market,1040 W Fulton,,Chicago,Illinois,60607,Chicago,CBD,Fulton Market,,Office,Office,Creative,,A,,Under Construction,Direct,For Lease,,,,1st,No,No,Yes,No,No,,"2,770","2,770",$17.00,$18.00,NNN,,"2,770","29,401","29,401",$37.92,,,,5-23-2018,,10-1-2019,,,Specific Date,10-1-2019,0.0,0.0,No,,,,,"29,401",Summit Design + Build LLC,,,
344,529886,10419 Calumet Ave,Munster Mixed Use 2-Story,,Munster,Indiana,46321,Chicago,,Northwest Indiana,,Office,Office,Office,,A,,Proposed Long-Term,Direct,For Lease,,,,1st,No,No,No,No,No,,"1,482","1,482",$45.00,$47.00,NNN,,,,0,,,,,11-7-2018,,,,,Vacant,,,,No,,Latitude Commercial,,,"28,954",,,,
346,566836,10801 S Western Ave,,,Chicago,Illinois,60643,Chicago,Outer Suburbs,South Suburbs,,Office,Office,Office,,A,,Proposed Long-Term,Direct,For Lease,,,,1st,Yes,Yes,No,No,Yes,,"2,500","6,500",$27.80,$32.80,NNN,,"6,500","6,500","6,500",,,,,3-8-2019,,,,,Negotiable,,,,No,,First In Realty Executives,,,"26,001",Christian Pappas,,,
348,539173,10805 Corporate Dr,Gateway At LakeView Corporate Park,,Kenosha,Wisconsin,53158,Chicago,,Southeastern Wisconsin,,Office,Office,Office,,A,,Proposed Long-Term,Direct,For Lease,,,,2nd,Yes,Yes,Yes,No,No,,"81,500","81,500",29.6,$31.60,,,,,0,,,,,11-27-2018,,,,,Vacant,,,,No,,JLL,,,"326,060",Zilber Property Group,,,
351,28086,1100 E Warrenville Rd,1100 East Warrenville,120,Naperville,Illinois,60563,Chicago,Suburban,Western East-West,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Full Build-Out,,1st,No,No,No,No,No,,"8,752","8,752",$30.20,$31.20,Full Service Gross,,"8,752","8,752",0,$16.00,,,,2-24-2017,,,,7-1-2018,Negotiable,,,,Yes,,,,,"219,979",Elad Canada Inc.,,,
357,335621,1100 W Grand Ave,,,Chicago,Illinois,60642,Chicago,CBD,River West,,Office,Office,Office,,A,,Proposed Long-Term,Direct,For Lease,,,,1st,Yes,Yes,Yes,No,No,,"11,987","11,987",$57.00,$61.00,N,,"11,987","100,000","100,000",$29.00,,,,1-14-2014,,,,,Vacant,,,,No,,,,,"100,000",Sterling Bay,,,
362,28092,1100 W Lake Cook Rd,Former FedEx,250,Buffalo Grove,Illinois,60089,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,2nd,Yes,Yes,No,No,No,,"10,632","10,632",$44.80,$45.80,NNN,,"27,638","27,638","27,638",$13.50,,,,10-23-2018,,,,,Vacant,,0.0,0.0,Yes,,,,,"96,731",Hamilton Partners,,,
364,28096,1101 Skokie Blvd,Northbrook Corporate Center I,,Northbrook,Illinois,60062,Chicago,Suburban,North Cook County,,Office,Office,Office,,A,,Existing,Sublet,For Lease,,Full Build-Out,,2nd,Yes,Yes,No,No,No,,"6,898","6,898",$47.00,$49.00,Full Service Gross,,"6,898","6,898","24,250",,,,,2-18-2019,,,,,Vacant,,,,Yes,,Colliers International,,,"128,670",Fulcrum Asset Advisors,,,
368,3395,111 N Canal St,111 North Canal,LSE 2-5,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Creative,,A,,Existing,Direct,For Lease,,,,LBBY,Yes,Yes,No,No,Yes,,877,"3,813",$0.00,$3.00,Full Service Gross,,"3,813","3,813","58,253",,,,,10-1-2019,,,,,Vacant,,,,Yes,,Sterling Bay,,,"860,000",JP Morgan Chase & Company,21.0,16.0,
378,28104,111 S Pfingsten Rd,111 South Pfingsten,106,Deerfield,Illinois,60015,Chicago,Suburban,North Cook County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,Yes,Yes,No,No,No,,"5,566","5,566",$25.50,$30.50,N,,"5,566","5,566","31,124",$14.50,,,,7-6-2018,,,,,Vacant,,0.0,0.0,Yes,,,,,"120,927",Adventus Realty Trust,,,
383,3403,111 W Illinois St,One11 West Illinois,,Chicago,Illinois,60654,Chicago,CBD,River North,,Office,Office,Condo,,A,,Existing,Sublet,For Lease,,Coworking,,5th,No,No,No,No,Yes,,100,750,21,$25.00,Full Service Gross,,750,750,0,,,,,4-11-2019,,,,7-26-2019,Negotiable,,,,Yes,,WeWork,,,"227,604",GLL Real Estate Partners,,,
386,28112,1111 W 22nd St,Oakbrook Gateway,Con10,Oak Brook,Illinois,60523,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Direct,For Lease,,Partial Build-Out,,CNCR,No,No,No,No,No,,"4,295","4,295",$25.10,$28.10,Full Service Gross,,"8,250","4,295","18,744",,,,,5-30-2019,,,,,Specific Date,1-1-2020,,,Yes,,Colliers International,,,"233,166","Fairbridge Properties, LLC",,,
400,577358,1114 W Fulton St,1114 W Fulton,,Chicago,Illinois,60607,Chicago,CBD,Fulton Market,,Office,Office,Creative,,A,,Under Renovation,Direct,For Lease,,,,LL,Yes,No,Yes,No,No,,"5,000","5,000",$19.00,$24.00,Full Service Gross,,"5,000","30,000","30,000",,,,,4-3-2019,,,,,Specific Date,7-1-2019,,,No,,Bamford & Company,,,"30,000",Domus Group,,,
406,389840,1115 W Fulton St,1115 W Fulton,200,Chicago,Illinois,60607,Chicago,CBD,Fulton Market,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,2nd,Yes,No,Yes,No,No,,"15,397","15,397",$27.67,$31.67,NNN,,"15,397","15,397","15,397",$40.00,,,,9-17-2018,,3-1-2019,,,Specific Date,3-1-2019,0.0,0.0,Yes,,,,,"20,482",McCaffery,,,
408,28124,1130 W Lake Cook Rd,Buffalo Grove Business Park V,125,Buffalo Grove,Illinois,60089,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,Yes,Yes,No,No,No,,"1,812","1,812",$31.00,$36.00,Full Service Gross,,"1,812","1,812","3,897",,,,,12-7-2018,,,,,Vacant,,,,Yes,,Hamilton Partners,,,"67,125",Hamilton Partners,,,
418,350378,1142 W Madison St,1142 West Madison,,Chicago,Illinois,60607,Chicago,CBD,Fulton Market,,Office,Office,Creative,,A,,Existing,Direct,For Lease,,Full Build-Out,,2nd,Yes,Yes,No,No,Yes,,"1,000","10,000",$25.00,$27.00,Modified Gross,,"10,000","10,000","10,000",$26.00,,,,10-8-2018,,,,,Vacant,,0.0,0.0,Yes,,,,,"36,000",Steven Greenberg,,,
422,107378,1155 W Fulton St,,,Chicago,Illinois,60607,Chicago,CBD,Fulton Market,,Office,Office,Creative,,A,,Under Renovation,Direct,For Lease,,,,1st,No,No,No,No,No,,"13,784","13,784",$33.88,$37.88,Full Service Gross,,"13,784","13,784","25,000",,,,,7-2-2019,,,,,Specific Date,1-1-2020,,,Yes,,Cushman & Wakefield,,,"100,008",Domus Group,,,
429,3538,120 N LaSalle St,120 North LaSalle,1150,Chicago,Illinois,60602,Chicago,CBD,Central Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,11th,No,Yes,No,No,No,,"3,332","3,332",,$4.00,N,,"3,332","3,332","13,618",$24.00,,,,4-30-2018,,7-1-2018,,,Vacant,,0.0,0.0,Yes,,,,,"383,446",Ascentris,,,
440,3542,120 S Riverside Plz,CDW Plaza,400,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Office,,A,-,Existing,Direct,For Lease,,,,4th,Yes,No,No,No,No,,"36,853","36,853",$16.50,$19.50,N,,"36,853","36,853","37,548",$26.50,,,,10-15-2018,,6-1-2021,,,Specific Date,6-1-2021,0.0,0.0,Yes,,,,,"806,960",Callahan Capital Properties,,,
455,168118,1200 N North Branch St,1200 North Branch (Goose Island),100,Chicago,Illinois,60642,Chicago,Non-CBD,Goose Island,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,No,No,No,No,No,,"1,905","1,905",$0.00,$1.00,N,,,,0,,,,,5-20-2019,,,,6-20-2019,,,,,Yes,,R2 Companies,,,"77,442",R2 Companies,,,
456,209137,1200 Townline Rd,South Building,,Mundelein,Illinois,60060,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,Yes,Yes,No,No,No,,"30,351","30,351",$19.00,$24.00,,,"30,351","30,351","30,351",$0.00,,,,6-13-2018,,,,,Vacant,,0.0,0.0,No,,,,,"91,054",Medline Industries,,,
458,209133,1200 Townline Rd,East Building,,Mundelein,Illinois,60060,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,,,,,1-4,No,Yes,No,No,No,,,"96,672",$27.00,$30.00,Full Service Gross,,,"96,672",0,,,,,4-13-2017,,,,,Vacant,,,,No,,,,,"96,672",Medline Industries,,,
463,488681,1200 W Fulton Market,1200 W Fulton Market,,Chicago,Illinois,60607,Chicago,CBD,Fulton Market,,Office,Office,Mixed-Use,,A,,Proposed Long-Term,Direct,For Lease,,,,4th,Yes,No,Yes,No,No,,"30,000","30,000",$46.09,$50.09,,,"30,000","1,010,000","1,010,000",$0.00,,,,1-23-2018,,,,,TBD,,0.0,0.0,No,,,,,"1,010,000",IBT Group LLC,,,
484,168160,1201 W Lake St,Twelve01West,2000,Chicago,Illinois,60607,Chicago,CBD,Fulton Market,,Office,Office,Creative,,A,,Existing,Direct,For Lease,,,,2nd,Yes,Yes,Yes,No,No,,"13,549","13,549",$20.00,$25.00,Full Service Gross,,"13,549","13,549","16,523",,,,,3-7-2019,,,,,Specific Date,4-1-2019,,,Yes,,JLL,,,"145,816",McCaffery,,,
492,4809,1201 W Washington Blvd,1201 West Washington,,Chicago,Illinois,60607,Chicago,CBD,Fulton Market,,Office,Office,Creative,,A,,Existing,Direct,For Lease,,Full Build-Out,Excellent,2nd,Yes,Yes,No,No,No,,"11,000","11,000",$24.00,$25.00,Modified Gross,,"11,000","11,000","11,000",$35.00,,,,3-6-2018,,,,,Specific Date,1-1-2019,0.0,0.0,Yes,,,,,"75,000","Peppercorn Capital, LLC",,,
494,28156,1211 W 22nd St,Oak Brook 22 Tower One,209,Oak Brook,Illinois,60523,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,2nd,Yes,No,No,No,No,,"5,633","5,633",$35.14,$40.14,N,,"5,633","5,633","10,403",,,,,1-15-2019,,,,,Specific Date,7-1-2019,,,Yes,,CBRE,,,"156,699",Golub & Company,,,
505,168289,1220 W Van Buren St,The Oxxford,,Chicago,Illinois,60607,Chicago,CBD,Far West Loop,,Office,Office,Creative,,A,,Under Renovation,Direct,For Lease,,Raw Space,,2nd,Yes,No,Yes,No,Yes,,"5,239","12,415",$39.75,$44.75,Full Service Gross,,"12,415","12,415","17,689",,,,,5-9-2019,,,,,Specific Date,12-1-2020,,,Yes,,Cushman & Wakefield,,,"129,732",The Missner Group,,,
513,3642,123 N Wacker Dr,123 North Wacker,280,Chicago,Illinois,60606,Chicago,CBD,West Loop,Wacker West,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,2nd,Yes,No,No,No,No,,"7,881","7,881",$13.50,$17.50,Full Service Gross,,"7,881","7,881","20,106",$26.50,,,,8-2-2017,,,,,Negotiable,,,,Yes,,,,,"540,621",LaSalle Investment Management,,,
543,28178,1250 N Arlington Heights Rd,1250 North Arlington Heights,150,Itasca,Illinois,60143,Chicago,Suburban,Northwest,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,Yes,Yes,No,No,No,,"5,758","5,758",$30.21,$31.21,NNN,,"5,758","5,758","108,197",$15.50,,,,7-9-2010,,,,,Vacant,,,,Yes,,,,,"130,934",Hamilton Partners,,,
553,422140,1250 Windham Pky,Windham Lakes,,Romeoville,Illinois,60446,Chicago,Suburban,Western East-West,,Office,Office,Office,,A,,Existing,Direct,,,,,,No,Yes,No,No,No,,,"27,378",27.52,$31.52,,,,"27,378","10,053",,,,,9-23-2019,,,,,TBD,,,,Yes,,,,,"43,227","Lakeview Realty Investors, LLC",,,
556,3702,130 E Randolph St,One Prudential Plaza,,Chicago,Illinois,60601,Chicago,CBD,East Loop,,Office,Office,Office,,A,,Existing,Sublet,For Lease,,,,5th,Yes,Yes,No,No,No,,"10,000","10,000",$25.00,$27.00,Full Service Gross,,"10,000","10,000","22,211",$20.00,,,,4-24-2018,,,,,Vacant,,0.0,0.0,Yes,,,,,"1,226,092",Sterling Bay,,,
567,335614,130 N Franklin St,,,Chicago,Illinois,60606,Chicago,CBD,West Loop,Wacker West,Office,Office,Office,,A,,Proposed Long-Term,Direct,For Lease,,Shell Space,,6th,Yes,No,Yes,No,No,,"24,527","24,527",$49.00,$51.00,N,,"24,527","1,175,629","1,175,629",$36.33,,,,8-22-2012,,,,,TBD,,,,No,,,,,"1,198,227",Tishman Speyer,,,
613,28195,1301 W 22nd St,Oak Brook 22 Tower Two,102,Oak Brook,Illinois,60523,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,No,No,No,No,No,,"3,082","3,082",$35.33,$36.33,N,,"3,082","3,082","4,798",$19.75,,,,6-22-2017,,,,1-1-2019,Vacant,,,,Yes,,,,,"156,699",Golub & Company,,,
628,184631,1315 N North Branch St,1315 North Branch,,Chicago,Illinois,60642,Chicago,Non-CBD,Goose Island,,Office,Office,Creative,,A,,Existing,Direct,,,,,,Yes,Yes,No,No,No,,,"80,000",$17.75,$22.75,Full Service Gross,,,"80,000","80,000",,,,,9-24-2019,,,,,Vacant,,,,Yes,,,,,"86,700",R2 Companies,,,
630,209053,1316 Bond St,,,Naperville,Illinois,60563,Chicago,Suburban,Western East-West,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Shell Space,Excellent,1st,Yes,Yes,No,No,Yes,,"2,000","5,000",$38.44,$39.44,Modified Gross,,"5,000","5,000","5,000",$17.95,,,,11-21-2013,,,,,Vacant,,,,No,,,,,"22,000",Dwight Avram Builders,,,
631,541730,133 E Brush Hill Rd,Medical Office Building,305,Elmhurst,Illinois,60126,Chicago,Suburban,Eastern East-West,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Full Build-Out,,3rd,Yes,Yes,No,No,No,,651,651,$30.20,$34.20,Full Service Gross,,651,651,651,,,,,12-19-2018,,,,,Vacant,,,,No,,Welltower Inc,,,"80,000",Edward-Elmhurst Health,,,
